file,dt,tz,model,lat,lon,alt,dir,w,h,focal,eq35,zoom,lens
IMG_3488.HEIC,2026:09:20 15:14:41,-04:00,iPhone 17,40.215836111111116,-74.00772777777777,4.194798528531098,282.4136657433056,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3489.HEIC,2026:09:20 15:14:45,-04:00,iPhone 17,40.21554166666667,-74.00710277777777,5.19167709224995,333.2182770663562,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3490.HEIC,2026:09:20 15:14:47,-04:00,iPhone 17,40.21554166666667,-74.00709444444445,4.427913669064748,335.7947693425354,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3491.HEIC,2026:09:20 15:14:55,-04:00,iPhone 17,40.215538888888894,-74.00709444444445,3.3897972402692993,340.5392609699769,4032,3024,5.960000038146973,58,1.119,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3492.HEIC,2026:09:20 15:17:00,-04:00,iPhone 17,40.21532777777778,-74.00785,3.2847294987040203,40.130138401156785,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3493.HEIC,2026:09:20 15:17:02,-04:00,iPhone 17,40.215333333333334,-74.00785,3.34652880882958,14.313881877839474,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3494.HEIC,2026:09:20 15:17:05,-04:00,iPhone 17,40.215333333333334,-74.00785833333333,3.393885463675078,270.7437745740498,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3495.HEIC,2026:09:20 15:17:49,-04:00,iPhone 17,40.215325,-74.00789722222223,0.7821007180955459,60.02661899086214,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3496.HEIC,2026:09:20 15:18:26,-04:00,iPhone 17,40.215244444444444,-74.00818611111112,2.3628196721311476,31.722003929273086,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3497.HEIC,2026:09:20 15:18:28,-04:00,iPhone 17,40.215247222222224,-74.00817777777777,2.4029197694475997,41.50929639081298,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3498.HEIC,2026:09:20 15:18:33,-04:00,iPhone 17,40.215244444444444,-74.00817777777777,2.779842408561684,278.8433228180862,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3499.HEIC,2026:09:20 15:20:40,-04:00,iPhone 17,40.21483611111111,-74.00985,1.7996177679967569,261.69528178243775,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3500.HEIC,2026:09:20 15:20:42,-04:00,iPhone 17,40.21488888888889,-74.00985833333333,2.4432640066442883,257.16531365313654,3024,4032,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3503.HEIC,2026:09:21 10:04:09,-04:00,iPhone 17,40.21522222222222,-74.01011666666666,7.3402442944390875,137.89827344843678,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3504.HEIC,2026:09:21 10:04:11,-04:00,iPhone 17,40.21514166666667,-74.0101,1.7335548407620798,199.3985594237695,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3505.HEIC,2026:09:21 10:04:12,-04:00,iPhone 17,40.21515,-74.01008611111111,2.5406761177753543,252.10035700119,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3506.HEIC,2026:09:21 10:04:14,-04:00,iPhone 17,40.21515555555556,-74.01007777777778,2.0698509227585626,266.84274297499354,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3507.HEIC,2026:09:21 10:04:32,-04:00,iPhone 17,40.21510277777778,-74.01030833333333,0.14834976196289062,228.56700130947183,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3508.HEIC,2026:09:21 10:04:34,-04:00,iPhone 17,40.21510277777778,-74.01031388888889,3.8215293896242395,228.40765391014975,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3509.HEIC,2026:09:21 10:04:40,-04:00,iPhone 17,40.2151,-74.01038333333334,4.221492770613521,228.9247434435576,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3510.HEIC,2026:09:21 10:05:19,-04:00,iPhone 17,40.21489444444445,-74.01099444444445,7.116397017801897,96.47543997898607,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3511.HEIC,2026:09:21 10:05:20,-04:00,iPhone 17,40.2149,-74.01099444444445,7.318028234205046,139.61492537313433,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3512.HEIC,2026:09:21 10:05:22,-04:00,iPhone 17,40.21489722222223,-74.01099444444445,6.755053223298648,201.2496794871795,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3513.HEIC,2026:09:21 10:06:27,-04:00,iPhone 17,40.21486388888889,-74.01218333333334,5.596675871411452,182.18177028451,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3514.HEIC,2026:09:21 10:06:29,-04:00,iPhone 17,40.214850000000006,-74.01219166666667,4.265468597234508,232.8482207697894,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3515.HEIC,2026:09:21 10:06:30,-04:00,iPhone 17,40.214850000000006,-74.01219166666667,4.02401351988681,239.96813977389516,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
